concept_id,concept_name,domain_id,concept_class_id,ATC
21600001,ALIMENTARY TRACT AND METABOLISM,Drug,ATC 1st,A
21600002,STOMATOLOGICAL PREPARATIONS,Drug,ATC 2nd,A01
21600003,STOMATOLOGICAL PREPARATIONS,Drug,ATC 3rd,A01A
21600004,Caries prophylactic agents,Drug,ATC 4th,A01AA
21600008,"stannous fluoride; oral, local oral",Drug,ATC 5th,A01AA04
21600011,Antiinfectives and antiseptics for local oral treatment,Drug,ATC 4th,A01AB
21600012,hydrogen peroxide; local oral,Drug,ATC 5th,A01AB02
21600014,amphotericin B; local oral,Drug,ATC 5th,A01AB04
21600015,polynoxylin; local oral,Drug,ATC 5th,A01AB05
21600016,domiphen; local oral,Drug,ATC 5th,A01AB06
21600017,oxyquinoline; local oral,Drug,ATC 5th,A01AB07
21600018,neomycin; local oral,Drug,ATC 5th,A01AB08
21600019,miconazole; local oral,Drug,ATC 5th,A01AB09
21600020,natamycin; local oral,Drug,ATC 5th,A01AB10
21600022,hexetidine; local oral,Drug,ATC 5th,A01AB12
21600023,tetracycline; local oral,Drug,ATC 5th,A01AB13
21600024,benzoxonium chloride; local oral,Drug,ATC 5th,A01AB14
21600025,tibezonium iodide; local oral,Drug,ATC 5th,A01AB15
21600026,mepartricin; local oral,Drug,ATC 5th,A01AB16
21600027,metronidazole; local oral,Drug,ATC 5th,A01AB17
21600028,clotrimazole; local oral,Drug,ATC 5th,A01AB18
21600029,sodium perborate; local oral,Drug,ATC 5th,A01AB19
21600030,chlortetracycline; local oral,Drug,ATC 5th,A01AB21
21600031,doxycycline; local oral,Drug,ATC 5th,A01AB22
21600032,minocycline; local oral,Drug,ATC 5th,A01AB23
21600033,Corticosteroids for local oral treatment,Drug,ATC 4th,A01AC
21600034,triamcinolone; local oral,Drug,ATC 5th,A01AC01
21600035,dexamethasone; local oral,Drug,ATC 5th,A01AC02
21600036,hydrocortisone; local oral,Drug,ATC 5th,A01AC03
