"Mayo Test ID","Test Name","CPT Code"
"GLSF","Glucose, Spinal Fluid","82945"
"A1AF","Alpha-1-Antitrypsin, Random, Feces","82103"
"TPSF","Protein, Total, Spinal Fluid","84157"
"HCO3","Bicarbonate, Serum","82374"
"TIBC","Total Iron Binding Capacity, Serum","83550"
"IRON","Iron, Serum","83540-Iron"
"SAT","Percent Saturation",""
"SFINC","Cerebrospinal Fluid (CSF) IgG Index, Spinal Fluid","82042
  82784"
"OLIGS","Oligoclonal Banding, Serum","83916"
"LCMS","Leukemia/Lymphoma Immunophenotyping, Flow Cytometry, Varies","88184-Flow cytometry; first cell surface, cytoplasmic or nuclear marker x 1
    88185-Flow cytometry; additional cell surface, cytoplasmic or nuclear marker (each) 
    88187-Flow Cytometry Interpretation, 2 to 8 Markers (if appropriate)
    88188-Flow Cytometry Interpretation, 9 to 15 Markers (if appropriate)
    88189-Flow Cytometry Interpretation, 16 or More Markers (if appropriate)"
"OLIGC","Oligoclonal Banding, Spinal Fluid","83916"
"FVAG","Fungal Culture, Vaginal","87102-Fungal culture, vaginal
  87106-Id MALDI-TOF Mass Spec Yeast (if appropriate)
  87107-Id MALDI-TOF Mass Spec Fungi (if appropriate)
  87107-Fungal identification panel A (if appropriate)
  87107-Fungal identification panel B (if appropriate)
  87153-D2 fungal sequencing identification (if appropriate)
  87153-ITS Fungal Sequencing (if appropriate)"
"ROC","Rubeola (Measles) Antibodies, IgG and IgM, Spinal Fluid","86765 x 2"
"CRAV","Cortisol, Right Adrenal Vein, Serum","82533"
"CLAV","Cortisol, Left Adrenal Vein, Serum","82533"
"CIVC","Cortisol, Inferior Vena Cava, Serum","82533"
"ARAV","Aldosterone, Right Adrenal Vein, Serum","82088"
"ALAV","Aldosterone, Left Adrenal Vein, Serum","82088"
"AIVC","Aldosterone, Inferior Vena Cava, Serum","82088"
"JCHAI","J-Chain Immunostain, Technical Component Only","88342-TC, primary
  88341-TC, if additional IHC"
"F8IS","Coagulation Factor VIII Inhibitor Screen, Plasma","85335"
"ZN_S","Zinc, Serum","84630"
"F9_IS","Factor IX Inhibitor Screen, Plasma","85335"
"11_IS","Factor XI Inhibitor Screen, Plasma","85335"
"F2_IS","Factor II Inhibitor Screen, Plasma","85335"
"F5_IS","Factor V Inhibitor Screen, Plasma","85335"
"F7_IS","Factor VII Inhibitor Screen, Plasma","85335"
"10_IS","Factor X Inhibitor Screen, Plasma","85335"
"HPP","Pancreatic Polypeptide, Plasma","83519"
"OLIG","Oligoclonal Banding, Serum and Spinal Fluid","83916 x 2"
"PACP","Prostatic Acid Phosphatase, Serum","84066"
"LEU","Fecal Leukocytes, Feces","89055"
"CIFS","Cutaneous Immunofluorescence Antibodies, IgG and IgG4, Serum","88346
  88350
  88350 (if appropriate)"
"PRA","Renin Activity, Plasma","84244"
